,year,name,id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_plyd,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set
31,1991-2023,Alejandro Hernandez,103060,26.9,MEX,180.0,R,126.0,342.0,25,0.0,480.0,77,37,0.4805194805194805,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.39690721649484534,0.36855670103092786,0.6829896907216495,0.23618090452261306,0.5817270624518118,0.6746189529489728,0.45069124423963136,0.3132848645076008,0.4748995983935743,0.5402010050251256,0.7242268041237113,0.4372093023255814,0.5622775800711743,0.64,0,,2,0.0,2,0.0,7,0.0,14,0.21428571428571427,34,0.20588235294117646,35,35,155.2987012987013,547.038961038961,84,84,87.0,36.25
32,1991-2023,Alejandro Tabilo,126214,25.7,CHI,188.0,L,69.0,763.0,24,0.0,645.8333333333334,52,25,0.4807692307692308,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.48576214405360135,0.25795644891122277,0.7437185929648241,0.23972602739726026,0.6371751115778419,0.6930366707869798,0.4833574529667149,0.3118770764119601,0.5072358900144718,0.5873287671232876,0.5996649916247906,0.40816326530612246,0.5726256983240223,0.5,0,,0,,1,0.0,6,0.16666666666666666,17,0.23529411764705882,36,0.3055555555555556,50,50,126.21153846153847,1055.5384615384614,125,125,105.8,42.32
33,1991-2023,Alejo Mancisidor,101780,25.0,ESP,183.0,R,120.0,350.0,21,0.0,345.23809523809524,26,5,0.19230769230769232,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.27238805970149255,0.3582089552238806,0.5597014925373134,0.28044280442804426,0.5170362358031368,0.6307531380753139,0.4232922732362822,0.3115727002967359,0.523936170212766,0.7232472324723247,0.9402985074626866,0.3877551020408163,0.5317460317460317,0.0,0,,1,0.0,2,0.0,3,0.3333333333333333,8,0.25,14,0.14285714285714285,24,24,150.73076923076923,670.2692307692307,59,59,100.58333333333333,40.91525423728814
34,1991-2023,Aleksandar Kovacevic,206499,24.9,USA,,U,101.0,568.0,8,0.0,656.25,14,6,0.42857142857142855,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.7251461988304093,0.21637426900584794,0.7660818713450293,0.17058823529411765,0.5982222222222222,0.7355126300148589,0.45353982300884954,0.2749615975422427,0.4368421052631579,0.4647058823529412,0.6081871345029239,0.3670886075949367,0.6153846153846154,0.6,0,,1,0.0,1,0.0,2,0.5,4,0.5,12,0.4166666666666667,14,13,86.42857142857143,1245.5714285714287,35,32,112.61538461538461,45.75
35,1991-2023,Aleksandar Vukic,126846,27.2,AUS,188.0,R,62.0,855.0,21,0.0,797.6190476190476,36,15,0.4166666666666667,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.7145748987854251,0.13765182186234817,0.8279352226720648,0.13453815261044177,0.5996119016817594,0.7491909385113269,0.5331179321486268,0.2582278481012658,0.4429184549356223,0.39959839357429716,0.4331983805668016,0.33668341708542715,0.602803738317757,0.5,0,,0,,2,0.0,4,0.0,13,0.38461538461538464,24,0.4166666666666667,36,36,112.30555555555556,1038.888888888889,97,97,115.80555555555556,42.97938144329897
36,1991-2023,Aleksandr Nedovyesov,104873,28.4,KAZ,193.0,R,72.0,661.0,20,0.0,825.0,32,6,0.1875,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.4081081081081081,0.13783783783783785,0.7162162162162162,0.13101604278074866,0.6614273576890399,0.6628131021194605,0.4767879548306148,0.24910522548317823,0.4360400444938821,0.42780748663101603,0.5945945945945946,0.30625,0.5227272727272727,0.625,1,0.0,1,0.0,4,0.0,4,0.0,15,0.2,22,0.18181818181818182,28,24,131.78125,1507.40625,81,70,113.5,38.91428571428571
37,1991-2023,Aleksandre Metreveli,106223,26.4,GEO,183.0,R,564.0,55.0,2,0.0,250.0,9,2,0.2222222222222222,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0.35714285714285715,0.5714285714285714,0.15517241379310345,0.5569620253164557,0.6090909090909091,0.4514285714285714,0.24644549763033174,0.4,0.22413793103448276,0.8392857142857143,0.6923076923076923,0.48936170212765956,1.0,0,,0,,2,0.0,2,0.0,3,0.0,4,0.0,6,6,188.11111111111111,1004.0,14,14,85.66666666666667,36.714285714285715
38,1991-2023,Alessandro Giannessi,105561,31.1,ITA,183.0,L,91.0,610.0,23,0.0,597.8260869565217,36,13,0.3611111111111111,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.27459016393442626,0.3176229508196721,0.709016393442623,0.21560574948665298,0.6544139801144924,0.6519337016574586,0.4864864864864865,0.290519877675841,0.4908802537668517,0.5646817248459959,0.7950819672131147,0.38181818181818183,0.634020618556701,0.4782608695652174,0,,1,0.0,2,0.0,3,0.0,9,0.0,23,0.2608695652173913,36,35,115.16666666666667,852.4722222222222,98,93,128.4857142857143,48.354838709677416
39,1991-2023,Alessio Di Mauro,103035,32.7,ITA,185.0,L,68.0,543.0,34,0.0,691.1764705882352,53,17,0.32075471698113206,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,0.19047619047619047,0.6490299823633157,0.22982456140350876,0.5778841041998937,0.6375344986200552,0.4641057934508816,0.28537735849056606,0.4903448275862069,0.531578947368421,0.7689594356261023,0.43234323432343236,0.5435779816513762,0.3125,0,,0,,3,0.3333333333333333,6,0.3333333333333333,16,0.1875,33,0.24242424242424243,50,50,109.9245283018868,679.566037735849,123,123,104.46,42.46341463414634
40,1991-2023,Alex Antonitsch,101233,29.0,AUT,188.0,R,60.0,,74,0.0,513.5135135135135,133,54,0.40601503759398494,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.3863471314451707,0.28540305010893247,0.738562091503268,0.21926671459381739,0.5489101256308386,0.7001173708920188,0.4884551297310164,0.2944579212539653,0.4831804281345566,0.5427749820273184,0.6601307189542484,0.40397350993377484,0.6039603960396039,0.43859649122807015,0,,3,0.0,7,0.2857142857142857,15,0.13333333333333333,44,0.18181818181818182,87,0.28735632183908044,121,113,97.0,641.1654135338346,293,264,91.33628318584071,39.09469696969697
