,year,name,id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_plyd,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set
297,1990-2021,David Engel,101407,26.6,SWE,180.0,R,115.0,304.0,36,0.0,631.9444444444445,58,22,0.3793103448275862,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.23529411764705882,0.16941176470588235,0.72,0.23897911832946636,0.6537366548042705,0.6505171475231355,0.49229188078108943,0.3048220436280138,0.5060240963855421,0.5336426914153132,0.6705882352941176,0.44782608695652176,0.5824561403508772,0.4444444444444444,1,0.0,3,0.0,6,0.0,9,0.1111111111111111,20,0.15,36,0.25,35,35,111.86206896551724,639.051724137931,90,90,103.71428571428571,40.333333333333336
298,1990-2021,David Ferrer,103970,37.0,ESP,175.0,R,3.0,7220.0,395,0.06835443037974684,841.7721518987341,1115,738,0.6618834080717488,52,27,0.5192307692307693,1,0,1,0,7,1,19,10,24,16,0,0.22580645161290322,0.21670010804136441,0.7754283068374749,0.31442615276585784,0.6295120887639905,0.6859149509332307,0.5238671287517165,0.334498213192758,0.5455393042363499,0.7202153390028868,0.5605031640685291,0.43657241902285776,0.5993391160677406,0.5167173252279635,27,0.18518518518518517,109,0.2018348623853211,177,0.3050847457627119,289,0.4532871972318339,607,0.5551894563426688,934,0.6241970021413277,1079,1054,63.55674709562109,1682.971403038427,2769,2708,107.27039848197343,41.751477104874446
299,1990-2021,David Goffin,105676,30.4,BEL,180.0,R,7.0,3775.0,198,0.025252525252525252,853.5353535353536,490,293,0.5979591836734693,14,5,0.35714285714285715,0,0,1,0,1,0,5,1,7,4,0,0.44348873215207296,0.28040598658179944,0.7770514364355754,0.27482481627072297,0.5832997284727263,0.7164584965663455,0.5044516129032258,0.3122534783927875,0.5286674574930803,0.6622799521449325,0.5570273524858077,0.41496774193548386,0.5997529339098209,0.48936170212765956,9,0.2222222222222222,42,0.21428571428571427,71,0.2535211267605634,118,0.3389830508474576,257,0.490272373540856,405,0.5580246913580247,472,437,62.552845528455286,1762.89837398374,1239,1151,109.06407322654462,41.40834057341442
300,1990-2021,David Guez,104095,26.9,FRA,185.0,R,132.0,415.0,16,0.0,734.375,18,2,0.1111111111111111,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.10550458715596331,0.16972477064220184,0.6330275229357798,0.17889908256880735,0.5765636232925953,0.5960099750623441,0.5025466893039049,0.25735294117647056,0.48638132295719844,0.44036697247706424,0.7201834862385321,0.40625,0.49044585987261147,0.5,0,,0,,1,0.0,4,0.0,11,0.09090909090909091,14,0.14285714285714285,18,18,81.05555555555556,1189.0555555555557,47,47,107.72222222222223,41.255319148936174
301,1990-2021,David Marrero,103543,29.8,ESP,185.0,R,158.0,321.0,6,0.0,541.6666666666666,9,3,0.3333333333333333,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.3983739837398374,0.16260162601626016,0.7723577235772358,0.11811023622047244,0.6415094339622641,0.6654411764705882,0.5328947368421053,0.2634730538922156,0.40445859872611467,0.49606299212598426,0.5772357723577236,0.23809523809523808,0.6056338028169014,0.5,0,,0,,0,,0,,1,0.0,3,0.0,9,9,145.22222222222223,395.1111111111111,25,25,132.0,47.52
302,1990-2021,Tommy Haas,103163,28.8,GER,188.0,R,208.0,181.0,5,0.0,300.0,5,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0.5428571428571429,0.3333333333333333,0.5031847133757962,0.6160337552742616,0.42735042735042733,0.3291139240506329,0.5066666666666667,0.6956521739130435,0.8285714285714286,0.4791666666666667,0.4482758620689655,0.0,0,,0,,0,,0,,2,0.0,2,0.0,5,5,202.4,535.0,14,14,118.4,42.285714285714285
303,1990-2021,David Nainkin,101805,28.5,RSA,183.0,R,139.0,331.0,43,0.0,732.5581395348837,72,27,0.375,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.23737373737373738,0.4772727272727273,0.654040404040404,0.25404732254047324,0.5999627004848938,0.6478085172520982,0.4372960372960373,0.276510067114094,0.5236593059936908,0.572851805728518,0.7651515151515151,0.4434782608695652,0.5478547854785478,0.5,0,,3,0.0,7,0.14285714285714285,10,0.1,26,0.07692307692307693,40,0.15,68,61,124.79166666666667,783.1944444444445,175,151,90.67213114754098,36.629139072847686
304,1990-2021,David Nalbandian,103900,31.1,ARG,180.0,R,3.0,3500.0,195,0.05641025641025641,908.974358974359,575,383,0.6660869565217391,24,11,0.4583333333333333,1,0,1,1,6,2,2,1,14,7,0,0.2975230836875275,0.2619082515022717,0.7729737652059212,0.30116959064327486,0.590883125785445,0.6942382057231246,0.5225914549008657,0.31981050494416663,0.5470440389028521,0.6812865497076024,0.558112267331086,0.44206008583690987,0.5932247899159664,0.6018518518518519,13,0.23076923076923078,56,0.30357142857142855,95,0.3684210526315789,151,0.4768211920529801,321,0.5638629283489096,481,0.6237006237006237,544,544,64.88773747841105,1417.9412780656303,1448,1448,110.80147058823529,41.62707182320442
305,1990-2021,David Pate,100815,31.9,USA,183.0,R,79.0,,42,0.0,666.6666666666666,72,30,0.4166666666666667,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.4514038876889849,0.28077753779697623,0.7170626349892009,0.1939655172413793,0.6103640537881273,0.6754433100483611,0.47053872053872053,0.28823854224185536,0.4724809483488569,0.4698275862068966,0.6760259179265659,0.41284403669724773,0.5814696485623003,0.4,4,0.0,4,0.0,9,0.1111111111111111,13,0.15384615384615385,26,0.19230769230769232,41,0.2926829268292683,39,39,139.09722222222223,635.2361111111111,100,100,93.48717948717949,36.46
306,1990-2021,David Prinosil,102184,29.4,GER,185.0,R,28.0,1040.0,215,0.013953488372093023,668.6046511627907,390,169,0.43333333333333335,6,3,0.5,0,0,0,0,0,0,0,0,6,3,0,0.5950906678460858,0.413312693498452,0.7540911101282618,0.2161440960640427,0.5121553759686055,0.7464285714285714,0.46778921535210305,0.27652601392871773,0.5028696144208229,0.5514787636201912,0.6114551083591331,0.3919354838709677,0.5978300180831826,0.4619883040935672,4,0.0,24,0.125,50,0.18,91,0.2087912087912088,183,0.3005464480874317,290,0.3724137931034483,373,360,85.64615384615385,1002.5846153846154,952,897,90.92777777777778,36.492753623188406
